filename,extension,size_bytes,sha256,manifest_generated_utc
AGENTS.md,.md,954,cd4c808a2e1e2fb775c887de7f07595fd876301a69d4d9564cc5e0686b53512c,2026-06-07T09:07:34.623119+00:00
CircuitFit MVP stress test and spec pack.docx,.docx,18876,27a2a43570fd57ac82edc3e384dbd9dfa4611dd0ad2e0ff325fa4f5f6c62a63a,2026-06-07T09:07:34.623205+00:00
DESIGN_REQUIREMENTS.md,.md,8824,aad0809966d8a2c9438229da114175ec4b1d61a1702c27f8d924321843132d7b,2026-06-07T09:07:34.623233+00:00
DEVELOPMENT_HANDOFF.md,.md,2269,55b4c8d284ec7d48842701aacec0db3801e3034ddb330751f552a0f7f08eba05,2026-06-07T09:07:34.623255+00:00
MODEL_SELECTION.md,.md,3598,51aed06bf062ccbccb0b1b4ddcaacf244ac095e6a387e548ec7e8f8a8f4b7715,2026-06-07T09:07:34.623274+00:00
PRODUCT_REQUIREMENTS.md,.md,11702,1aba8cd8df751de6cf4bff61b2c99b0787f5d5e475503ffbec310799dd911666,2026-06-07T09:07:34.623299+00:00
SPEC_CHANGE_PROTOCOL.md,.md,2163,9b0fb1e18575c8fb276a298a68e4d3a50807422ff9d2ad0cf9e6f112635f924a,2026-06-07T09:07:34.623316+00:00
TASKS.md,.md,5884,b45a70db0480871bae29822908ec012d7978433471a2b05d0aea919f46de967a,2026-06-07T09:07:34.623339+00:00
